name,version,license,classification,direct_dependency,integrity,resolved
@esbuild/openbsd-arm64,0.27.4,MIT,development,no,sha512-2MyL3IAaTX+1/qP0O1SwskwcwCoOI4kV2IBX1xYnDDqthmq5ArrW94qSIKCAuRraMgPOmG0RDTA74mzYNQA9ow==,https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.27.4.tgz
@esbuild/openbsd-arm64,0.27.4,MIT,development,no,sha512-2MyL3IAaTX+1/qP0O1SwskwcwCoOI4kV2IBX1xYnDDqthmq5ArrW94qSIKCAuRraMgPOmG0RDTA74mzYNQA9ow==,https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.27.4.tgz
@esbuild/openbsd-x64,0.27.4,MIT,development,no,sha512-u8fg/jQ5aQDfsnIV6+KwLOf1CmJnfu1ShpwqdwC0uA7ZPwFws55Ngc12vBdeUdnuWoQYx/SOQLGDcdlfXhYmXQ==,https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.27.4.tgz
@esbuild/openbsd-x64,0.27.4,MIT,development,no,sha512-u8fg/jQ5aQDfsnIV6+KwLOf1CmJnfu1ShpwqdwC0uA7ZPwFws55Ngc12vBdeUdnuWoQYx/SOQLGDcdlfXhYmXQ==,https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.27.4.tgz
@esbuild/openharmony-arm64,0.27.4,MIT,development,no,sha512-JkTZrl6VbyO8lDQO3yv26nNr2RM2yZzNrNHEsj9bm6dOwwu9OYN28CjzZkH57bh4w0I2F7IodpQvUAEd1mbWXg==,https://registry.npmjs.org/@esbuild/openharmony-arm64/-/openharmony-arm64-0.27.4.tgz
@esbuild/openharmony-arm64,0.27.4,MIT,development,no,sha512-JkTZrl6VbyO8lDQO3yv26nNr2RM2yZzNrNHEsj9bm6dOwwu9OYN28CjzZkH57bh4w0I2F7IodpQvUAEd1mbWXg==,https://registry.npmjs.org/@esbuild/openharmony-arm64/-/openharmony-arm64-0.27.4.tgz
@esbuild/sunos-x64,0.27.4,MIT,development,no,sha512-/gOzgaewZJfeJTlsWhvUEmUG4tWEY2Spp5M20INYRg2ZKl9QPO3QEEgPeRtLjEWSW8FilRNacPOg8R1uaYkA6g==,https://registry.npmjs.org/@esbuild/sunos-x64/-/sunos-x64-0.27.4.tgz
@esbuild/sunos-x64,0.27.4,MIT,development,no,sha512-/gOzgaewZJfeJTlsWhvUEmUG4tWEY2Spp5M20INYRg2ZKl9QPO3QEEgPeRtLjEWSW8FilRNacPOg8R1uaYkA6g==,https://registry.npmjs.org/@esbuild/sunos-x64/-/sunos-x64-0.27.4.tgz
@esbuild/win32-arm64,0.27.4,MIT,development,no,sha512-Z9SExBg2y32smoDQdf1HRwHRt6vAHLXcxD2uGgO/v2jK7Y718Ix4ndsbNMU/+1Qiem9OiOdaqitioZwxivhXYg==,https://registry.npmjs.org/@esbuild/win32-arm64/-/win32-arm64-0.27.4.tgz
@esbuild/win32-arm64,0.27.4,MIT,development,no,sha512-Z9SExBg2y32smoDQdf1HRwHRt6vAHLXcxD2uGgO/v2jK7Y718Ix4ndsbNMU/+1Qiem9OiOdaqitioZwxivhXYg==,https://registry.npmjs.org/@esbuild/win32-arm64/-/win32-arm64-0.27.4.tgz
@esbuild/win32-ia32,0.27.4,MIT,development,no,sha512-DAyGLS0Jz5G5iixEbMHi5KdiApqHBWMGzTtMiJ72ZOLhbu/bzxgAe8Ue8CTS3n3HbIUHQz/L51yMdGMeoxXNJw==,https://registry.npmjs.org/@esbuild/win32-ia32/-/win32-ia32-0.27.4.tgz
@esbuild/win32-ia32,0.27.4,MIT,development,no,sha512-DAyGLS0Jz5G5iixEbMHi5KdiApqHBWMGzTtMiJ72ZOLhbu/bzxgAe8Ue8CTS3n3HbIUHQz/L51yMdGMeoxXNJw==,https://registry.npmjs.org/@esbuild/win32-ia32/-/win32-ia32-0.27.4.tgz
@esbuild/win32-x64,0.27.4,MIT,development,no,sha512-+knoa0BDoeXgkNvvV1vvbZX4+hizelrkwmGJBdT17t8FNPwG2lKemmuMZlmaNQ3ws3DKKCxpb4zRZEIp3UxFCg==,https://registry.npmjs.org/@esbuild/win32-x64/-/win32-x64-0.27.4.tgz
@esbuild/win32-x64,0.27.4,MIT,development,no,sha512-+knoa0BDoeXgkNvvV1vvbZX4+hizelrkwmGJBdT17t8FNPwG2lKemmuMZlmaNQ3ws3DKKCxpb4zRZEIp3UxFCg==,https://registry.npmjs.org/@esbuild/win32-x64/-/win32-x64-0.27.4.tgz
@eslint-community/eslint-utils,4.9.1,MIT,development,no,sha512-phrYmNiYppR7znFEdqgfWHXR6NCkZEK7hwWDHZUjit/2/U0r6XvkDl0SYnoM51Hq7FhCGdLDT6zxCCOY1hexsQ==,https://registry.npmjs.org/@eslint-community/eslint-utils/-/eslint-utils-4.9.1.tgz
@eslint-community/regexpp,4.12.2,MIT,development,no,sha512-EriSTlt5OC9/7SXkRSCAhfSxxoSUgBm33OH+IkwbdpgoqsSsUg7y3uh+IICI/Qg4BBWr3U2i39RpmycbxMq4ew==,https://registry.npmjs.org/@eslint-community/regexpp/-/regexpp-4.12.2.tgz
@eslint/compat,2.0.3,Apache-2.0,development,yes,sha512-SjIJhGigp8hmd1YGIBwh7Ovri7Kisl42GYFjrOyHhtfYGGoLW6teYi/5p8W50KSsawUPpuLOSmsq1bD0NGQLBw==,https://registry.npmjs.org/@eslint/compat/-/compat-2.0.3.tgz
@eslint/config-array,0.23.3,Apache-2.0,development,no,sha512-j+eEWmB6YYLwcNOdlwQ6L2OsptI/LO6lNBuLIqe5R7RetD658HLoF+Mn7LzYmAWWNNzdC6cqP+L6r8ujeYXWLw==,https://registry.npmjs.org/@eslint/config-array/-/config-array-0.23.3.tgz
@eslint/config-helpers,0.5.3,Apache-2.0,development,no,sha512-lzGN0onllOZCGroKJmRwY6QcEHxbjBw1gwB8SgRSqK8YbbtEXMvKynsXc3553ckIEBxsbMBU7oOZXKIPGZNeZw==,https://registry.npmjs.org/@eslint/config-helpers/-/config-helpers-0.5.3.tgz
@eslint/core,1.1.1,Apache-2.0,development,no,sha512-QUPblTtE51/7/Zhfv8BDwO0qkkzQL7P/aWWbqcf4xWLEYn1oKjdO0gglQBB4GAsu7u6wjijbCmzsUTy6mnk6oQ==,https://registry.npmjs.org/@eslint/core/-/core-1.1.1.tgz
